10033.Stage_0.4-1.1.1.-	10047.Stage_0.4-3.1.1.-	10055.Stage_0.4-1.1.1.-	10081.Stage_0.4-3.1.1.-	10134.Stage_0.4-1.1.1.-	10140.Stage_0.4-1.1.1.PrePost_sporadic	10154.Stage_0.4-1.1.1.-	10165.Stage_0.4-1.1.1.PrePost_sporadic	10177.Stage_0.4-1.1.1.-	10198.Stage_0.4-2.1.1.-	10203.Stage_0.5-3.1.1.-	10334.Stage_0.4-1.1.1.-	10338.Stage_0.4-1.1.1.PrePost_sporadic	10345.Stage_0.4-1.1.1.PrePost_sporadic	10358.Stage_0.4-1.1.1.-	10366.Stage_0.4-1.1.1.PrePost_sporadic	10385.Stage_0.4-1.1.1.PrePost_sporadic	10545.Stage_0.4-1.1.1.PrePost_sporadic	10565.Stage_0.4-1.1.1.PrePost_sporadic	10568.Stage_0.4-1.1.1.-	10576.Stage_0.4-1.1.1.-	10579.Stage_0.4-1.1.1.PrePost_sporadic	10596.Stage_0.4-1.1.1.PrePost_sporadic	10601.Stage_0.4-1.1.1.-	10648.Stage_0.4-1.1.1.-	10697.Stage_0.4-1.1.1.PrePost_sporadic	10722.Stage_0.4-1.1.1.-	10749.Stage_0.4-1.1.1.-	10756.Stage_0.4-1.1.1.-	10785.Stage_0.4-1.1.1.Shibata	10814.Stage_0.4-3.1.1.-	10853.Stage_0.4-1.1.1.-	10860.Stage_0.4-1.1.1.-	10866.Stage_0.4-1.1.1.-	10880.Stage_0.4-1.1.1.-	10888.Stage_0.4-1.1.1.-	10911.Stage_0.4-1.1.1.-	10934.Stage_0.4-1.1.1.-	10935.Stage_0.4-1.1.1.-	10967.Stage_0.4-1.1.1.-	10975.Stage_0.4-1.1.1.-	10980.Stage_0.4-1.1.1.-	10989.Stage_0.4-1.1.1.-	10992.Stage_0.4-1.1.1.-	11006.Stage_0.4-6.1.1.Shibata	11008.Stage_0.4-1.1.1.-	11011.Stage_0.4-1.1.1.-	11029.Stage_0.4-1.1.1.-	11048.Stage_0.4-1.1.1.Shibata	11110.Stage_0.4-1.1.1.-	11121.Stage_0.4-1.1.1.-	11151.Stage_0.4-1.1.1.-	11224.Stage_0.4-1.1.1.-	11237.Stage_0.4-1.1.1.-	11241.Stage_0.4-1.1.1.-	11281.Stage_0.4-1.1.1.-	11417.Stage_0.4-1.1.1.-	11423.Stage_0.4-1.1.1.-	11433.Stage_0.4-1.1.1.-	11438.Stage_0.4-1.1.1.-	11445.Stage_0.4-1.1.1.-	11453.Stage_0.4-1.1.1.-	11498.Stage_0.4-1.1.1.-	11510.Stage_0.4-1.1.1.-	11512.Stage_0.4-1.1.1.-	11819.Stage_0.4-6.1.1.-	11836.Stage_0.4-1.1.1.-	11851.Stage_0.4-1.1.1.-	11879.Stage_0.4-1.1.1.-	11891.Stage_0.4-1.1.1.-	11893.Stage_0.4-1.1.1.-	11929.Stage_0.4-1.1.1.-	11993.Stage_0.4-6.1.1.-	
Pisciglobus	0.0	0.0	0.0	0.0	0.25	0.0	0.2	0.3	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.5	0.0	0.0	0.6	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.2	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Schwartzia	0.0	10.9238095238	16.1928571429	0.4	0.533333333334	0.0	0.8	0.4	26.0642857143	0.0	10.5761904762	0.4	0.0	2.25	0.0	13.7626984127	0.0	3.875	0.166666666667	2.325	0.458333333333	0.242857142857	0.1	0.0	0.0	0.1	0.0	0.1	1.94523809524	4.23452380952	0.0	1.85357142857	0.0	7.31666666667	0.4	0.0	5.05714285714	0.533333333334	0.0	1.28571428571	0.0	0.0	47.6023809524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63333333333	0.2	0.0	8.93333333333	1.76666666667	0.685714285714	69.9833333333	0.4	4.4880952381	0.0	0.0	0.0	0.685714285714	0.0	0.0	0.8	0.8	0.0	0.0	0.0	485.616666667	1.28571428571	0.6
Anaerosalibacter	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
Algoriphagus	0.0	1.0	0.0	0.0	0.0	0.4	1.6	0.0	0.0	0.166666666667	0.0	0.0	0.444444444444	2.76666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13333333334	0.0	0.0	0.0	0.0	0.0	0.0
Roseicyclus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leeia	0.0	0.5	2.0	1.33333333333	2.86666666666	0.0	6.33333333333	0.0	2.33333333333	0.0	0.0	0.0	1.66666666667	0.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0	0.666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.533333333333	0.0	0.0	0.666666666666	0.0	0.0	0.0	0.666666666666	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866666666666	0.0	1.66666666667	0.0	0.0	0.666666666666	0.0	0.0	0.0	0.0	0.666666666666	0.0	0.0	0.0	0.0	0.0	3.16666666666	0.0
Ferruginibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudorhodoferax	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Patulibacter	0.0	0.6	0.0	0.0	0.8	0.0	0.888888888888	1.94285714286	0.8	0.0	0.4	2.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.84444444444	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.2	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.28571428571	0.0
Auritidibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
