Abiotrophia	Aerococcaceae
Acanthopleuribacter	Acanthopleuribacteraceae
Acaricomes	Micrococcaceae
Acetanaerobacterium	Ruminococcaceae
Acetatifactor	Lachnospiraceae
Acetitomaculum	Lachnospiraceae
Acetivibrio	Ruminococcaceae
Acetoanaerobium	Unclassified_Clostridiales
Acetobacter	Acetobacteraceae
Acetobacterium	Eubacteriaceae
Acetobacteroides	Rikenellaceae
Acetohalobium	Halobacteroidaceae
Acetomicrobium	Bacteroidaceae
Acetonema	Veillonellaceae
Acholeplasma	Acholeplasmataceae
Achromobacter	Alcaligenaceae
Acidaminobacter	Unclassified_Clostridiales
Acidaminococcus	Acidaminococcaceae
Acidianus	Sulfolobaceae
Acidicaldus	Acetobacteraceae
Acidicapsa	Acidobacteriaceae
Acidiferrobacter	Ectothiorhodospiraceae
Acidilobus	Acidilobaceae
Acidimicrobium	Acidimicrobiaceae
Acidiphilium	Acetobacteraceae
Acidiplasma	Ferroplasmaceae
Acidisoma	Acetobacteraceae
Acidisphaera	Acetobacteraceae
Aciditerrimonas	Unclassified_Acidimicrobineae
Acidithiobacillus	Acidithiobacillaceae
Acidobacterium	Acidobacteriaceae
Acidocella	Acetobacteraceae
Acidomonas	Acetobacteraceae
Acidothermus	Acidothermaceae
Acidovorax	Comamonadaceae
Acinetobacter	Moraxellaceae
Acrocarpospora	Streptosporangiaceae
Actibacter	Flavobacteriaceae
Actibacterium	Rhodobacteraceae
Actinoallomurus	Thermomonosporaceae
Actinoalloteichus	Pseudonocardiaceae
Actinobacillus	Pasteurellaceae
Actinobaculum	Actinomycetaceae
Actinocatenispora	Micromonosporaceae
Actinocorallia	Thermomonosporaceae
Actinokineospora	Pseudonocardiaceae
Actinomadura	Thermomonosporaceae
Actinomyces	Actinomycetaceae
Actinomycetospora	Pseudonocardiaceae
Actinophytocola	Pseudonocardiaceae
Actinoplanes	Micromonosporaceae
Actinopolymorpha	Nocardioidaceae
Actinopolyspora	Actinopolysporaceae
Actinospica	Actinospicaceae
Actinosynnema	Pseudonocardiaceae
Actinotalea	Cellulomonadaceae
Actinotignum	Actinomycetaceae
Adhaeribacter	Cytophagaceae
Adlercreutzia	Eggerthellaceae
Advenella	Alcaligenaceae
Aequorivita	Flavobacteriaceae
Aeribacillus	Bacillaceae
Aeriscardovia	Bifidobacteriaceae
Aerococcus	Aerococcaceae
Aeromicrobium	Nocardioidaceae
Aeromonas	Aeromonadaceae
Aeropyrum	Desulfurococcaceae
Aestuariibacter	Alteromonadaceae
Aestuariibaculum	Flavobacteriaceae
Aestuariihabitans	Rhodobacteraceae
Aestuariimicrobium	Propionibacteriaceae
Aestuariispira	Rhodospirillaceae
Aestuarivita	Rhodobacteraceae
Afifella	Rhodobiaceae
Afipia	Bradyrhizobiaceae
Agaricicola	Rhodobacteraceae
Agarivorans	Alteromonadaceae
Aggregatibacter	Pasteurellaceae
Aggregicoccus	Myxococcaceae
Agreia	Microbacteriaceae
Agrococcus	Microbacteriaceae
Agromyces	Microbacteriaceae
Ahrensia	Rhodobacteraceae
Aidingimonas	Halomonadaceae
Akkermansia	Akkermansiaceae
Albibacter	Methylocystaceae
Albidiferax	Comamonadaceae
Albidovulum	Rhodobacteraceae
Albimonas	Rhodobacteraceae
Albirhodobacter	Rhodobacteraceae
Alcaligenes	Alcaligenaceae
Alcanivorax	Alcanivoracaceae
Algibacter	Flavobacteriaceae
Algicola	Pseudoalteromonadaceae
Algimonas	Hyphomonadaceae
Algiphilus	Algiphilaceae
Algoriphagus	Cyclobacteriaceae
Aliagarivorans	Alteromonadaceae
Alicycliphilus	Comamonadaceae
Alicyclobacillus	Alicyclobacillaceae
Aliidiomarina	Idiomarinaceae
Aliifodinibius	Unclassified_Sphingobacteriales
Aliiglaciecola	Alteromonadaceae
Aliivibrio	Vibrionaceae
Alishewanella	Alteromonadaceae
Alistipes	Rikenellaceae
Alkalibacillus	Bacillaceae
Alkalibacter	Eubacteriaceae
Alkalibacterium	Carnobacteriaceae
Alkalibaculum	Eubacteriaceae
Alkaliflexus	Marinilabiliaceae
Alkalilimnicola	Ectothiorhodospiraceae
Alkalimonas	Unclassified_Gammaproteobacteria
Alkalinema	Oscillatoriales
Alkaliphilus	Clostridiaceae
