                    QNetDiff  NetShift
Actinomyces         7.041117  2.066667
Granulicatella      7.010286  2.000000
Gemella             6.289972  2.148459
Parvimonas          3.692600  2.380952
Atopobium           3.394089  2.083333
Enterococcus        3.361818  1.500000
Rothia              3.166174  1.285714
Clostridium         2.649021  1.488095
Neisseria           2.544827  2.285714
Providencia         2.471823  1.238095
Solobacterium       2.405675  2.238095
Vibrio              2.067407  1.079365
Shigella            1.930256  1.079365
Roseburia           1.916198  1.790476
Filifactor          1.901216  1.523810
Veillonella         1.814904  0.742857
Peptostreptococcus  1.572020  1.142857
Fusobacterium       1.470803  1.342857
Haemophilus         1.433671  0.688312
Corynebacterium     1.343562  2.142857
Streptococcus       1.049759  0.229437
Psychrilyobacter    0.981180  2.095238
Mogibacterium       0.932325  2.095238
Leptotrichia        0.838290  2.095238
Ruminococcus        0.646861  0.714286
Bulleidia           0.476066  2.047619
